image,query,label,startX,startY,endX,endY
398faec8-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,18,113,528,427
3adba2c8-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,,,,,
46e3e5ee-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,188,183,553,401
47e1b9a8-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,,,,,
495f1dca-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,270,306,369,340
4c3d9cb0-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,3,24,633,449
4c6794ac-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,,,,,
4c942aee-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,,,,,
894d0654-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,167,41,429,327
8c1b5552-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,138,216,244,340
8d1faf66-6799-11e5-8dc4-40f2e96c8ad8.jpg,city garbage,1,191,235,413,391
911108a4-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,71,90,456,252
9282d0c8-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,125,158,650,400
92cc9866-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
92ff7cae-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,360,178,585,351
93a3926c-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
95a65b44-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,31,139,660,513
96137d1e-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
96463dda-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
967550c0-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,85,158,601,250
96a096ea-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
99ba1928-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9aca41b2-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,28,175,472,323
9af7cb5a-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9b779100-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9c0bb2ea-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9c8711ba-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9cc9396e-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9e362c94-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
9e7858f8-6799-11e5-ba3c-40f2e96c8ad8.gif,delhi garbage,1,10,86,393,255
a20ad3c4-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
a477c630-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,64,83,325,185
a4e60b40-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,301,116,741,417
a5c35568-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
a87af798-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,0,175,759,422
a92f6a34-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
aa08e41c-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,105,84,454,330
aace03c8-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,1,339,797,4043,2661
b0ce2636-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
b16a45a2-6799-11e5-ba3c-40f2e96c8ad8.jpg,delhi garbage,,,,,
b2b2e9aa-6799-11e5-ba3c-40f2e96c8ad8.JPG,delhi garbage,,,,,
